,Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price,Delta,Target
318,EP Biocomposites Ltd,13-Sep-22,126,160.25,126.75,0.6,27.18253968253968,Yes
320,Jay Jalaram Technologies Ltd,08-Sep-22,36,50.0,211.1,486.39,38.88888888888889,Yes
321,JFL Life Sciences Ltd,08-Sep-22,61,70.0,19.45,-68.11,14.754098360655737,Yes
322,Dreamfolks Services Ltd,06-Sep-22,326,505.0,252.3,-22.61,54.90797546012271,Yes
326,Syrma SGS Technology Ltd,26-Aug-22,220,262.0,449.55,104.34,19.090909090909093,Yes
328,Upsurge Seeds of Agriculture Ltd,11-Aug-22,120,140.0,176.4,47.0,16.666666666666664,Yes
332,Jayant Infratech Ltd,13-Jul-22,67,76.0,70.0,4.48,13.432835820895523,Yes
333,SKP Bearing Industries Ltd,13-Jul-22,70,73.0,215.0,207.14,4.285714285714286,Yes
340,Modi`s Navnirman Ltd,06-Jul-22,180,189.0,233.0,29.44,5.0,Yes
341,Goel Food Products Ltd,28-Jun-22,72,75.0,13.92,-80.67,4.166666666666666,Yes
344,Fidel Softech Ltd,10-Jun-22,37,59.1,135.95,267.43,59.72972972972973,Yes
346,Aether Industries Ltd,03-Jun-22,642,706.15,912.7,42.17,9.992211838006227,Yes
347,eMudhra Ltd,01-Jun-22,256,271.0,836.85,226.89,5.859375,Yes
352,Prudent Corporate Advisory Services Ltd,20-May-22,630,660.0,1973.85,213.31,4.761904761904762,Yes
356,Supriya Lifescience Ltd,28-Dec-21,274,425.0,644.0,135.04,55.1094890510949,Yes
357,HP Adhesives Ltd,27-Dec-21,274,319.0,51.36,-81.26,16.423357664233578,Yes
358,Data Patterns (India) Ltd,24-Dec-21,585,864.0,1628.25,178.33,47.69230769230769,Yes
360,Medplus Health Services Ltd,23-Dec-21,796,1015.0,708.75,-10.96,27.51256281407035,Yes
361,Nupur Recyclers Ltd,23-Dec-21,60,74.0,65.91,9.85,23.333333333333332,Yes
363,C.E. Info Systems Ltd,21-Dec-21,1033,1581.0,1645.55,59.3,53.04937076476283,Yes
366,Anand Rathi Wealth Ltd,14-Dec-21,550,602.05,1865.0,239.09,9.463636363636356,Yes
367,Tega Industries Ltd,13-Dec-21,453,753.0,1358.7,199.93,66.22516556291392,Yes
370,Omnipotent Industries Ltd,29-Nov-21,63,99.0,7.71,-87.76,57.14285714285714,Yes
371,Tarsons Products Ltd,26-Nov-21,662,700.0,319.4,-51.75,5.740181268882175,Yes
374,Sapphire Foods India Ltd,18-Nov-21,1180,1311.0,337.75,-71.38,11.101694915254237,Yes
376,PB Fintech Ltd,15-Nov-21,980,1150.0,1397.8,42.63,17.346938775510203,Yes
383,D.K. Enterprises Global Ltd,22-Oct-21,40,42.0,64.25,60.63,5.0,Yes
384,AFLOAT Enterprises Ltd,13-Oct-21,11,12.0,16.53,50.27,9.090909090909092,Yes
387,Promax Power Ltd,12-Oct-21,10,11.0,34.09,240.9,10.0,Yes
388,Bombay Metrics Supply Chain Ltd,12-Oct-21,93,98.3,51.8,-44.3,5.698924731182792,Yes
390,Shri Venkatesh Refineries Ltd,11-Oct-21,40,42.0,212.1,430.25,5.0,Yes
391,Getalong Enterprise Ltd,08-Oct-21,69,73.05,23.16,-66.43,5.8695652173913,Yes
392,Jainam Ferro Alloys (I) Ltd,08-Oct-21,70,73.0,220.0,214.29,4.285714285714286,Yes
395,SBL Infratech Ltd,28-Sep-21,111,130.0,47.8,-56.94,17.117117117117118,Yes
397,Sansera Engineering Ltd,24-Sep-21,744,811.35,1158.8,55.75,9.052419354838714,Yes
398,Platinumone Business Services Ltd,16-Sep-21,92,99.95,130.0,41.3,8.64130434782609,Yes
400,Naapbooks Ltd,15-Sep-21,74,77.0,105.0,41.89,4.054054054054054,Yes
401,Ami Organics Ltd,14-Sep-21,610,902.0,2457.6,302.89,47.868852459016395,Yes
408,Exxaro Tiles Ltd,16-Aug-21,120,126.0,7.52,-93.73,5.0,Yes
409,Devyani International Ltd,16-Aug-21,90,141.0,168.88,87.64,56.666666666666664,Yes
411,Krsnaa Diagnostics Ltd,16-Aug-21,954,1025.0,738.55,-22.58,7.4423480083857445,Yes
412,Network People Services Technologies Ltd,10-Aug-21,80,83.95,1656.4,1970.5,4.9375000000000036,Yes
414,Rolex Rings Ltd,09-Aug-21,900,1249.0,1425.7,58.41,38.77777777777778,Yes
415,Alivus Life Sciences Ltd,06-Aug-21,720,751.1,1078.95,49.85,4.319444444444447,Yes
417,Zomato Ltd,23-Jul-21,76,115.0,216.83,185.3,51.31578947368421,Yes
420,Focus Business Solution Ltd,13-Jul-21,19,29.35,83.82,341.16,54.473684210526315,Yes
421,Walpar Nutritions Ltd,13-Jul-21,55,59.95,46.05,-16.27,9.000000000000005,Yes
422,India Pesticides Ltd,05-Jul-21,296,360.0,142.93,-51.71,21.62162162162162,Yes
425,Krishna Institute of Medical Sciences Ltd,28-Jun-21,825,1008.9,512.5,-37.88,22.29090909090909,Yes
426,Dodla Dairy Ltd,28-Jun-21,428,528.0,1114.0,160.28,23.364485981308412,Yes
429,Shyam Metalics & Energy Ltd,24-Jun-21,306,367.0,824.2,169.35,19.934640522875817,Yes
432,Kuberan Global Edu Solutions Ltd,05-May-21,20,21.0,31.88,59.4,5.0,Yes
436,V-Marc India Ltd,09-Apr-21,39,46.5,266.55,583.46,19.230769230769234,Yes
439,EKI Energy Services Ltd,07-Apr-21,102,140.0,124.05,21.62,37.254901960784316,Yes
445,Laxmi Organic Industries Ltd,25-Mar-21,130,156.2,187.13,43.95,20.153846153846146,Yes
449,Easy Trip Planners Ltd,19-Mar-21,187,206.0,12.5,-93.32,10.16042780748663,Yes
